title,poster_url,trailer_url
Водитель-олигарх,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/0/3/4/8373430/487766325729.jpg,https://www.kinoafisha.info/trailers/bac60a9842b7da88c99c089ea3bc7af0/
А зори здесь тихие,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/9/8/8/7714889/5e5da5c52d21dbebae1613af04068a01.jpg,https://www.kinoafisha.info/trailers/82055afdd76093e88f1a00e8206382e3/
Логан,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/6/5/7/8175756/6015dadc874aeb6260a9abce8942e6a0.jpeg,https://www.kinoafisha.info/trailers/dd843cb9d300bc32689ddc75c2a7bf37/
Одна жизнь,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/8/7/1/8372178/816404149584.jpg,https://www.kinoafisha.info/trailers/cae0f89a66757602c91a95136a92946d/
Душа,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/0/1/3/8356310/6989b3e4070d50c99a2b9d00f984e8de.jpg,https://www.kinoafisha.info/trailers/1d5f197b5974c48f2d2826bb9d6a3b98/
Стражи Галактики,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/7/5/0/8153057/1bce2fd76e5e7cf2b9eac2fb5d6eb522.jpg,https://www.kinoafisha.info/trailers/2729dac6f3637a7dbdc395bf4cc499d9/
Человек-паук,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/9/0/6/5609/002d2ea13ca1de39f018a0d7031cebf7.jpg,
Как приручить дракона,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/0/1/9/5636910/9ffa7b6ae0ae0db22e228df85100c90f.jpg,https://www.kinoafisha.info/trailers/4e342d280ed28bdb0eaf22242e6a8161/
Принцесса Мононоке,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/5/5/0/4019055/509879144726.jpg,
Люди Икс: Дни минувшего будущего,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/6/6/1/8139166/68664929624d014ffb268cbaf38ae787.jpg,https://www.kinoafisha.info/trailers/3a6faf06bd5395cf8522d9c72cacb435/
Лицо со шрамом,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/1/9/9/4158991/887f2f4507f711d8cd7ddd614b2d4dd6.jpeg,https://www.kinoafisha.info/trailers/8b51b1e3b2fa9d7bd968e731b152f999/
Гарри Поттер и Дары смерти. Часть вторая,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/5/2/8/7667825/c91bafb58635c0fd0f47db63716b50fb.jpg,https://www.kinoafisha.info/trailers/9574c509b0254ff8e1b441f75f1a0db5/
Железный человек,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/8/8/6/1186688/b66b84b3a8912b6583bfb1e131266e97.jpg,https://www.kinoafisha.info/trailers/d1b0b0f6ba9bac50d4217e236b13c522/
Человек-паук: Через вселенные,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/2/9/9/8353992/6dfc20b5deb658e4a6535e69b5339f73.jpeg,https://www.kinoafisha.info/trailers/5b1228279aca5d562d812453a03547f0/
Капернаум,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/2/8/5/8354582/fd8c9286a0f6093a62f660e30f3418d7.jpeg,https://www.kinoafisha.info/trailers/2f51d7b1e5bfd4f5bac635dd281accfc/
Брат,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/9/0/6/8098609/3287df3358ee135cee73d572f7ae8185.jpg,https://www.kinoafisha.info/trailers/3062f6cc8221e4649ac407b091f3eefb/
Мстители,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/1/7/7/8092771/ef0bfe926179341f098f081029ca47a2.jpg,https://www.kinoafisha.info/trailers/c669ea4fb96708af735188ea8ab2637d/
Корпорация Монстров,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/9/8/8/75889/f01f1197cec8c6fc323eaeb36ae9c88f.jpeg,https://www.kinoafisha.info/trailers/74f6758c8f6da5e853787710db528751/
Джентльмены,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/4/7/4/8356474/aea0b8d0d942a8a56e8da1dec7821ee1.jpeg,https://www.kinoafisha.info/trailers/51c0c59098902caab4daf7606bdc8799/
12 стульев,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/4/4/3/8328344/2b9fd065d4dbd264d9e573b75596ca1e.jpg,
